Variables,Numbers,,,,,,,monthly,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,Quarterly,1 to 3,4 to 6,7 to 9,10 to 12,13 to 15,16 to 18,19 to 21,22 to 24
Home Comp,15%,,Auto Premium,"$5,066,677","$3,800,007",,,Call Cost,"$15,750","$15,750","$15,750","$31,500","$31,500","$31,500","$47,250","$47,250","$47,250","$63,000","$63,000","$63,000","$78,750","$78,750","$78,750","$94,500","$94,500","$94,500","$110,250","$110,250","$110,250","$126,000","$126,000","$126,000",Total Cost,"$53,029","$109,170","$165,311","$221,452","$277,593","$333,733","$389,874","$446,015"
Multiline Percentage,25%,,Fire Premium,"$1,044,094","$783,070",,,Total Cost,"$17,232","$17,676","$18,121","$35,945","$36,390","$36,835","$54,659","$55,104","$55,548","$73,373","$73,817","$74,262","$92,086","$92,531","$92,975","$110,800","$111,244","$111,689","$129,514","$129,958","$130,403","$148,227","$148,672","$149,116",Profit,"$4,762","$37,529","$70,297","$103,065","$135,833","$168,601","$201,369","$143,082"
Autos per HH,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apps to Issue,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retention,75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AgentComp per hour,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ikram share,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nasir share,20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy share,30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
workingDays/Yr,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days/month,20.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore closers auto comp,1.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offshore closers fire comp,2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st month realistic,50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2nd month realistic,65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3rd month realistic,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
